주소	입력주소	X	Y	CLSS	PNU	주소구분	표준신주소	표준구주소	우편번호
서대문구 가좌로 가좌로 89 (13217)	서울특별시 서대문구 가좌로 가좌로 89 (13217)	126.928569	37.580466	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
서대문구 모래내로 모래내로 289 (13215)	서울특별시 서대문구 모래내로 모래내로 289 (13215)	126.935403	37.580798	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
서대문구 모래내로 모래내로 263 (13203)	서울특별시 서대문구 모래내로 모래내로 263 (13203)	126.935403	37.580798	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
서대문구 모래내로 모래내로 239 (13262)	서울특별시 서대문구 모래내로 모래내로 239 (13262)	126.935403	37.580798	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
서대문구 모래내로 모래내로 173 (13260)	서울특별시 서대문구 모래내로 모래내로 173 (13260)	126.935403	37.580798	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
서대문구 모래내로 모래내로 193 맞은편 (13204)	서울특별시 서대문구 모래내로 모래내로 193 맞은편 (13204)	126.935403	37.580798	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
마포구 마포대로 아현초등학교 옆 횡단보도 앞	서울특별시 마포구 마포대로 아현초등학교 옆 횡단보도 앞	126.953751	37.550318	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
마포구 마포대로 마포대로 213 애오개역 1번출구앞	서울특별시 마포구 마포대로 마포대로 213 애오개역 1번출구앞	126.953751	37.550318	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
마포구 신촌로 신촌로 234앞 마을버스 정류장 (14-619),MG새마을금고	서울특별시 마포구 신촌로 신촌로 234앞 마을버스 정류장 (14-619),MG새마을금고	126.942279	37.556487	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
마포구 신촌로 아현역 3번출구 뒤 횡단보도 좌측	서울특별시 마포구 신촌로 아현역 3번출구 뒤 횡단보도 좌측	126.942279	37.556487	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
