주소	입력주소	X	Y	CLSS	PNU	주소구분	표준신주소	표준구주소	우편번호
종로구 삼일대로 버스정류장	서울특별시 종로구 삼일대로 버스정류장	126.987431	37.573724	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 삼일대로 버스정류장	서울특별시 종로구 삼일대로 버스정류장	126.987431	37.573724	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로 83 종각귀금속	서울특별시 종로구 종로 83 종각귀금속	126.986694	37.570429	정좌표	공개용버전 미지원	새주소	미지원	미지원	03164
종로구 종로 69 우리은행	서울특별시 종로구 종로 69 우리은행	126.985299	37.570642	정좌표	공개용버전 미지원	새주소	미지원	미지원	03164
종로구 인사동14길 관광안내소	서울특별시 종로구 인사동14길 관광안내소	126.984947	37.574928	도로중심좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 인사동 남인사입구	서울특별시 종로구 인사동 남인사입구	126.986066	37.571721	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 율곡로38 방범순찰대	서울특별시 종로구 율곡로38 방범순찰대	126.983873	37.575612	정좌표	공개용버전 미지원	새주소	미지원	미지원	03146
종로구 삼일대로 467 노인복지센터	서울특별시 종로구 삼일대로 467 노인복지센터	126.985815	37.576016	정좌표	공개용버전 미지원	새주소	미지원	미지원	03147
종로구 종로1길 55 열린마당	서울특별시 종로구 종로1길 55 열린마당	126.978884	37.575344	정좌표	공개용버전 미지원	새주소	미지원	미지원	03142
종로구 사직동 142 세종로공원	서울특별시 종로구 사직동 142 세종로공원	126.967212	37.573747	인근좌표	공개용버전 미지원	구주소	미지원	미지원	NULL
종로구 세종대로 175  세종문화회관	서울특별시 종로구 세종대로 175  세종문화회관	126.975893	37.572255	정좌표	공개용버전 미지원	새주소	미지원	미지원	03172
종로구 광화문역 7번출구	서울특별시 종로구 광화문역 7번출구	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 신문로2가 103-1  삼원약국	서울특별시 종로구 신문로2가 103-1  삼원약국	126.970603	37.569190	인근좌표	공개용버전 미지원	구주소	미지원	미지원	NULL
종로구 신문로2가 2-1  서울역사박물관	서울특별시 종로구 신문로2가 2-1  서울역사박물관	126.968827	37.570760	정좌표	공개용버전 미지원	구주소	미지원	미지원	03177
종로구 통일로 132 현대자동차	서울특별시 종로구 통일로 132 현대자동차	126.966542	37.566533	정좌표	공개용버전 미지원	새주소	미지원	미지원	03181
종로구 사직로8길 4 스페이스본  버스정류장	서울특별시 종로구 사직로8길 4 스페이스본  버스정류장	126.968866	37.574464	정좌표	공개용버전 미지원	새주소	미지원	미지원	03168
종로구 경복궁역 7번출구	서울특별시 종로구 경복궁역 7번출구	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청계광장	서울특별시 종로구 청계광장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 56-23  버거킹 앞	서울특별시 종로구 종로2가 56-23  버거킹 앞	126.988093	37.569936	정좌표	공개용버전 미지원	구주소	미지원	미지원	03191
종로구 종로4가 59-2 승보약국 앞	서울특별시 종로구 종로4가 59-2 승보약국 앞	126.995718	37.570334	정좌표	공개용버전 미지원	구주소	미지원	미지원	03194
종로구 종로2가 38-1 탑골공원 앞	서울특별시 종로구 종로2가 38-1 탑골공원 앞	126.988348	37.571200	정좌표	공개용버전 미지원	구주소	미지원	미지원	03140
종로구 종로3가 10 맥도날드 앞	서울특별시 종로구 종로3가 10 맥도날드 앞	126.990461	37.570614	정좌표	공개용버전 미지원	구주소	미지원	미지원	03139
종로구 민방위교육장앞	서울특별시 종로구 민방위교육장앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 안국역 2번출구	서울특별시 종로구 안국역 2번출구	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 가회동 관광안내소옆	서울특별시 종로구 가회동 관광안내소옆	126.984841	37.582685	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 가회동성당 앞	서울특별시 종로구 가회동성당 앞	126.984841	37.582685	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 북촌로 35  가회동주민센터	서울특별시 종로구 북촌로 35  가회동주민센터	126.984786	37.580053	정좌표	공개용버전 미지원	새주소	미지원	미지원	03055
종로구 율곡로3길 4 풍문여고 앞	서울특별시 종로구 율곡로3길 4 풍문여고 앞	126.983280	37.576769	정좌표	공개용버전 미지원	새주소	미지원	미지원	03061
종로구 삼청로 66 삼청파출소 앞	서울특별시 종로구 삼청로 66 삼청파출소 앞	126.981122	37.581418	정좌표	공개용버전 미지원	새주소	미지원	미지원	03053
종로구 총리공관옆	서울특별시 종로구 총리공관옆	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 삼청로 102  삼청수제비 건너편	서울특별시 종로구 삼청로 102  삼청수제비 건너편	126.982291	37.584528	정좌표	공개용버전 미지원	새주소	미지원	미지원	03053
종로구 창경궁로 270  혜화동로터리  우리은행 앞	서울특별시 종로구 창경궁로 270  혜화동로터리  우리은행 앞	127.001092	37.584968	정좌표	공개용버전 미지원	새주소	미지원	미지원	03077
종로구 대학로 112  혜화역2번출구  아르코예술극장	서울특별시 종로구 대학로 112  혜화역2번출구  아르코예술극장	127.002377	37.581167	정좌표	공개용버전 미지원	새주소	미지원	미지원	03086
종로구 혜화로터리 버스중앙차로	서울특별시 종로구 혜화로터리 버스중앙차로	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 성대입구교차로  버스중앙차로	서울특별시 종로구 성대입구교차로  버스중앙차로	126.979231	37.573175	(도로명 없음)시구군 좌표	공개용버전 미지원	구주소	미지원	미지원	NULL
종로구 창경궁정문앞 버스중앙차로	서울특별시 종로구 창경궁정문앞 버스중앙차로	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동대문종합시장	서울특별시 종로구 동대문종합시장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동대문종합시장	서울특별시 종로구 동대문종합시장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동대문종합시장	서울특별시 종로구 동대문종합시장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로1가 르메이에르앞 버스정류장	서울특별시 종로구 종로1가 르메이에르앞 버스정류장	126.979710	37.570440	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로1가 SK빌딩 앞 버스정류장	서울특별시 종로구 종로1가 SK빌딩 앞 버스정류장	126.979710	37.570440	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 YMCA빌딩 버스정류장	서울특별시 종로구 종로2가 YMCA빌딩 버스정류장	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 귀금속 도매상가 앞  버스정류장	서울특별시 종로구 종로2가 귀금속 도매상가 앞  버스정류장	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 남인사마당	서울특별시 종로구 남인사마당	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 북인사마당	서울특별시 종로구 북인사마당	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 안국역 종로경찰서 앞 전화부스 옆	서울특별시 종로구 안국역 종로경찰서 앞 전화부스 옆	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 서울노인복지 회관 앞	서울특별시 종로구 서울노인복지 회관 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 관철동  파리바게트앞	서울특별시 종로구 관철동  파리바게트앞	126.985999	37.569134	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 관철동 아웃백앞	서울특별시 종로구 관철동 아웃백앞	126.985999	37.569134	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청계천  할리스커피숍앞	서울특별시 종로구 청계천  할리스커피숍앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 서울역사박물관앞	서울특별시 종로구 서울역사박물관앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 금호아시아나앞	서울특별시 종로구 금호아시아나앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 풍림스페이스본 앞	서울특별시 종로구 풍림스페이스본 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 경복궁역 7번출구 버스정류장	서울특별시 종로구 경복궁역 7번출구 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종공원앞	서울특별시 종로구 세종공원앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종공원앞	서울특별시 종로구 세종공원앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종문화회관앞	서울특별시 종로구 세종문화회관앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종로 kt앞 버스정류장	서울특별시 종로구 세종로 kt앞 버스정류장	126.976790	37.580309	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종로 kt앞 버스정류장	서울특별시 종로구 세종로 kt앞 버스정류장	126.976790	37.580309	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종로 kt앞 버스정류장	서울특별시 종로구 세종로 kt앞 버스정류장	126.976790	37.580309	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 삼일교 버스중앙차로	서울특별시 종로구 종로2가 삼일교 버스중앙차로	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 삼일교 버스중앙차로	서울특별시 종로구 종로2가 삼일교 버스중앙차로	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 탑골공원 횡단보도	서울특별시 종로구 종로2가 탑골공원 횡단보도	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 탑골공원 맞은편 버거킹 앞	서울특별시 종로구 종로2가 탑골공원 맞은편 버거킹 앞	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로3가 맥도날드 앞	서울특별시 종로구 종로3가 맥도날드 앞	126.992355	37.570414	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로3가 YBM건물  기업은행 앞 버스정류장	서울특별시 종로구 종로3가 YBM건물  기업은행 앞 버스정류장	126.992355	37.570414	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로3가 STCO앞	서울특별시 종로구 종로3가 STCO앞	126.992355	37.570414	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로3가역 15번 출구 앞	서울특별시 종로구 종로3가역 15번 출구 앞	126.978099	37.569859	정좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로3가역 13번 출구	서울특별시 종로구 종로3가역 13번 출구	126.978099	37.569859	정좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 종로4가 세운상가 앞 횡단보도 (종묘공원 맞은편)	서울특별시 종로구 종로4가 세운상가 앞 횡단보도 (종묘공원 맞은편)	126.997955	37.570678	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로3가 5번출구	서울특별시 종로구 종로3가 5번출구	126.989794	37.570572	정좌표	공개용버전 미지원	구주소	미지원	미지원	03139
종로구  동묘역 10번출구 롯데캐슬 앞	서울특별시 종로구  동묘역 10번출구 롯데캐슬 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동대문 공인중개소앞	서울특별시 종로구 동대문 공인중개소앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동대문 흥인빌딩 버스정류장 (창신1동 376-353 앞)	서울특별시 종로구 동대문 흥인빌딩 버스정류장 (창신1동 376-353 앞)	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 신설동 로타리 숭인동 버스정류장 (숭인2동 183-9)	서울특별시 종로구 신설동 로타리 숭인동 버스정류장 (숭인2동 183-9)	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로5가  종오지하쇼핑 센타입구 버스정류장	서울특별시 종로구 종로5가  종오지하쇼핑 센타입구 버스정류장	127.003525	37.570626	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로5가 우체국 버스정류장	서울특별시 종로구 종로5가 우체국 버스정류장	127.003525	37.570626	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 방송통신대학 횡단보도	서울특별시 종로구 방송통신대학 횡단보도	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 혜화역 3번 출구 앞 버스정류장	서울특별시 종로구 혜화역 3번 출구 앞 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 혜화역 4번출구앞	서울특별시 종로구 혜화역 4번출구앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 까페띠아모 앞	서울특별시 종로구 까페띠아모 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동성고등학교 앞 횡단보도	서울특별시 종로구 동성고등학교 앞 횡단보도	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 혜화성당앞 중앙버스정류장	서울특별시 종로구 혜화성당앞 중앙버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 성균관대입구 중앙차로 버스정류장	서울특별시 종로구 성균관대입구 중앙차로 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 창경궁 중앙차로 버스정류장	서울특별시 종로구 창경궁 중앙차로 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 보령빌딩 맞은편	서울특별시 종로구 보령빌딩 맞은편	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 삼청파출소 앞	서울특별시 종로구 삼청파출소 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 총리공관 앞	서울특별시 종로구 총리공관 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 삼청칼국수 앞	서울특별시 종로구 삼청칼국수 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 감사원입구 버스정류장	서울특별시 종로구 감사원입구 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 안국동 현대본사 버스정류장	서울특별시 종로구 안국동 현대본사 버스정류장	126.983622	37.577403	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 안국역 2번출구 버스정류장	서울특별시 종로구 안국역 2번출구 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로경찰서 맞은편 버스정류장	서울특별시 종로구 종로경찰서 맞은편 버스정류장	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 풍문여고입구 공중전화박스옆	서울특별시 종로구 풍문여고입구 공중전화박스옆	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 사직동 경복궁역 엘리베이터앞	서울특별시 종로구 사직동 경복궁역 엘리베이터앞	126.965955	37.575412	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 통의동 스타벅스앞	서울특별시 종로구 통의동 스타벅스앞	126.972869	37.578085	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 창성동 보석사랑앞	서울특별시 종로구 창성동 보석사랑앞	126.972473	37.580568	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 효자동 중국대사관위	서울특별시 종로구 효자동 중국대사관위	126.971946	37.582672	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청운동 경복고등학교  버스정류장	서울특별시 종로구 청운동 경복고등학교  버스정류장	126.969320	37.589209	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청와대 분수대광장 (기타)	서울특별시 종로구 청와대 분수대광장 (기타)	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 춘추관 앞 화장실 (기타)	서울특별시 종로구 춘추관 앞 화장실 (기타)	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 경복궁역 7번출구	서울특별시 종로구 경복궁역 7번출구	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 적선동 효자죽앞	서울특별시 종로구 적선동 효자죽앞	126.973790	37.575327	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 덕성여중 앞	서울특별시 종로구 덕성여중 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 통인동 통인시장 옆 호프데이치킨 앞	서울특별시 종로구 통인동 통인시장 옆 호프데이치킨 앞	126.970214	37.580161	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 교남동 현대자동차앞	서울특별시 종로구 교남동 현대자동차앞	126.964465	37.568551	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 교남동 육교밑 버스정류장	서울특별시 종로구 교남동 육교밑 버스정류장	126.964465	37.568551	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 경복궁 삼각대	서울특별시 종로구 경복궁 삼각대	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 무악동 행촌의원 버스정류장	서울특별시 종로구 무악동 행촌의원 버스정류장	126.958573	37.577113	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 무악동 독립문역 2번출구앞	서울특별시 종로구 무악동 독립문역 2번출구앞	126.958573	37.577113	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 부암동 현대자동차앞 횡단보도	서울특별시 종로구 부암동 현대자동차앞 횡단보도	126.965585	37.594772	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 부암동 하림각 앞	서울특별시 종로구 부암동 하림각 앞	126.965585	37.594772	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 부암동 세검정 버스정류장	서울특별시 종로구 부암동 세검정 버스정류장	126.965585	37.594772	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 신영동 신영모텔앞 버스정류장	서울특별시 종로구 신영동 신영모텔앞 버스정류장	126.961831	37.602523	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 평창동 일성아파트앞 버스정류장	서울특별시 종로구 평창동 일성아파트앞 버스정류장	126.972795	37.609017	정좌표	공개용버전 미지원	구주소	미지원	미지원	03004
종로구 평창동 외환은행앞 버스정류장	서울특별시 종로구 평창동 외환은행앞 버스정류장	126.974496	37.613032	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 구기동 월드펫동물병원 앞	서울특별시 종로구 구기동 월드펫동물병원 앞	126.959275	37.619386	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 구기동 현대빌라 앞 버스정류장	서울특별시 종로구 구기동 현대빌라 앞 버스정류장	126.958582	37.609766	정좌표	공개용버전 미지원	구주소	미지원	미지원	03007
종로구 구기동 요진쉐레이앞 버스정류장	서울특별시 종로구 구기동 요진쉐레이앞 버스정류장	126.956588	37.608217	정좌표	공개용버전 미지원	구주소	미지원	미지원	03012
종로구 구기동 GS마켓앞 버스정류장	서울특별시 종로구 구기동 GS마켓앞 버스정류장	126.959275	37.619386	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 구기동 현대설비공사앞 버스정류장	서울특별시 종로구 구기동 현대설비공사앞 버스정류장	126.958582	37.609766	정좌표	공개용버전 미지원	구주소	미지원	미지원	03007
종로구 구기동 세검정초교앞 버스정류장	서울특별시 종로구 구기동 세검정초교앞 버스정류장	126.959275	37.619386	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 신영동 상명대학교앞 버스정류장	서울특별시 종로구 신영동 상명대학교앞 버스정류장	126.961831	37.602523	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 동대문 흥인빌딩 버스정류장 (창신1동 376-353 앞)	서울특별시 종로구 동대문 흥인빌딩 버스정류장 (창신1동 376-353 앞)	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로4가 세운상가 앞 횡단보도 (종묘공원 맞은편)	서울특별시 종로구 종로4가 세운상가 앞 횡단보도 (종묘공원 맞은편)	126.997955	37.570678	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 서울역사박물관앞	서울특별시 종로구 서울역사박물관앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로3가역 15번 출구 앞	서울특별시 종로구 종로3가역 15번 출구 앞	126.978099	37.569859	정좌표	공개용버전 미지원	새주소	미지원	미지원	NULL
종로구 덕성여중 앞	서울특별시 종로구 덕성여중 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 세종로 kt앞 버스정류장	서울특별시 종로구 세종로 kt앞 버스정류장	126.976790	37.580309	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청운동 경복고등학교  버스정류장	서울특별시 종로구 청운동 경복고등학교  버스정류장	126.969320	37.589209	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 삼일교 버스중앙차로	서울특별시 종로구 종로2가 삼일교 버스중앙차로	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 안국역 종로경찰서 앞 전화부스 옆	서울특별시 종로구 안국역 종로경찰서 앞 전화부스 옆	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구  동묘역 10번출구 롯데캐슬 앞	서울특별시 종로구  동묘역 10번출구 롯데캐슬 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 덕성여중 앞	서울특별시 종로구 덕성여중 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 서울역사박물관앞	서울특별시 종로구 서울역사박물관앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 서울역사박물관앞	서울특별시 종로구 서울역사박물관앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청운동 경복고등학교  버스정류장	서울특별시 종로구 청운동 경복고등학교  버스정류장	126.969320	37.589209	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로1가 르메이에르앞 버스정류장	서울특별시 종로구 종로1가 르메이에르앞 버스정류장	126.979710	37.570440	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 탑골공원 횡단보도	서울특별시 종로구 종로2가 탑골공원 횡단보도	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 사직동 경복궁역 엘리베이터앞	서울특별시 종로구 사직동 경복궁역 엘리베이터앞	126.965955	37.575412	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 안국동 현대본사 버스정류장	서울특별시 종로구 안국동 현대본사 버스정류장	126.983622	37.577403	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 덕성여중 앞	서울특별시 종로구 덕성여중 앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 서울역사박물관앞	서울특별시 종로구 서울역사박물관앞	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로2가 탑골공원 횡단보도	서울특별시 종로구 종로2가 탑골공원 횡단보도	126.986932	37.570467	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 종로1가 SK빌딩 앞 버스정류장	서울특별시 종로구 종로1가 SK빌딩 앞 버스정류장	126.979710	37.570440	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
