주소	입력주소	X	Y	CLSS	PNU	주소구분	표준신주소	표준구주소	우편번호
종로구 경복궁역 4번출구	서울특별시 종로구 경복궁역 4번출구	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 자하문로 12	서울특별시 종로구 자하문로 12	126.972521	37.577091	정좌표	공개용버전 미지원	새주소	미지원	미지원	03044
종로구 자하문로 44	서울특별시 종로구 자하문로 44	126.971530	37.579965	정좌표	공개용버전 미지원	새주소	미지원	미지원	03043
종로구 효자동  정류소 ID : 01-112	서울특별시 종로구 효자동  정류소 ID : 01-112	126.971946	37.582672	법정동 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 청와대 분수대 (사랑채)	서울특별시 종로구 청와대 분수대 (사랑채)	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 경복궁역  정류소 ID : 01-115	서울특별시 종로구 경복궁역  정류소 ID : 01-115	126.979231	37.573175	시군구 좌표	공개용버전 미지원	판별불가	미지원	미지원	NULL
종로구 새문안로 46 씨티은행	서울특별시 종로구 새문안로 46 씨티은행	126.970246	37.568826	정좌표	공개용버전 미지원	새주소	미지원	미지원	03184
종로구 신문로2가 82 에스타워	서울특별시 종로구 신문로2가 82 에스타워	126.970016	37.569077	인근좌표	공개용버전 미지원	구주소	미지원	미지원	NULL
종로구 세종대로 152 동아일보	서울특별시 종로구 세종대로 152 동아일보	126.977647	37.569810	정좌표	공개용버전 미지원	새주소	미지원	미지원	03187
종로구 종로 14 한국무역공사	서울특별시 종로구 종로 14 한국무역공사	126.978858	37.569829	정좌표	공개용버전 미지원	새주소	미지원	미지원	03187
종로구 종로 30-1 종로분식	서울특별시 종로구 종로 30-1 종로분식	126.980780	37.569954	정좌표	공개용버전 미지원	새주소	미지원	미지원	03188
종로구 종로 68 대한기독교서회	서울특별시 종로구 종로 68 대한기독교서회	126.984947	37.569900	정좌표	공개용버전 미지원	새주소	미지원	미지원	03189
종로구 종로 78 미려빌딩	서울특별시 종로구 종로 78 미려빌딩	126.986000	37.569891	정좌표	공개용버전 미지원	새주소	미지원	미지원	03190
